Dataset,Phylum,Class,Order,Family,Genus,Species,n
CCZ,Foraminifera,Globothalamea,Lituolida,Trochamminidae,NA,NA,51
CCZ,Mollusca,Gastropoda,Pteropoda,Heliconoididae,Heliconoides,Heliconoides inflatus,51
CCZ,Nematoda,Chromadorea,Plectida,Ceramonematidae,NA,NA,50.68131038
CCZ,Nematoda,Chromadorea,Desmoscolecida,Cyartonematidae,Cyartonema,NA,50.320680777
CCZ,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus subcrassus,50
CCZ,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Hymenopenaeus,NA,50
CCZ,Foraminifera,Nodosariata,Nodosariida,Lagenidae,Reussoolina,Reussoolina laevis,50
CCZ,Annelida,Polychaeta,NA,Oweniidae,NA,NA,49
CCZ,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Eugerdella,NA,49
CCZ,Arthropoda,Malacostraca,Tanaidacea,Agathotanaidae,Agathotanais,NA,49
CCZ,Bryozoa,Stenolaemata,Cyclostomatida,Stomatoporidae,Stomatopora,NA,49
CCZ,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Oxygyrus,NA,49
CCZ,Arthropoda,Copepoda,Harpacticoida,Zosimeidae,Pseudozosime,NA,48
CCZ,Arthropoda,Malacostraca,Decapoda,Galatheidae,NA,NA,48
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Paraconchoecia,NA,48
CCZ,Bacillariophyta,NA,NA,NA,NA,NA,48
CCZ,Cnidaria,Hydrozoa,Limnomedusae,Geryoniidae,Liriope,Liriope tetraphylla,48
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Chromadora,NA,48
CCZ,Porifera,Hexactinellida,Amphidiscosida,NA,NA,NA,48
CCZ,Cnidaria,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes,NA,46
CCZ,Arthropoda,Malacostraca,Amphipoda,Lestrigonidae,Hyperietta,NA,45
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Metaconchoecia,Metaconchoecia rotundata,45
CCZ,Mollusca,Bivalvia,Nuculanida,Nuculanidae,NA,NA,45
CCZ,Arthropoda,Malacostraca,Tanaidacea,Leptognathiidae,Leptognathia,NA,44.38083447
CCZ,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Pseudobradya,NA,44
CCZ,Cnidaria,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,NA,44
CCZ,Foraminifera,Nodosariata,Polymorphinida,Polymorphinidae,Francuscia,Francuscia extensa,44
CCZ,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,44
CCZ,Mollusca,Monoplacophora,NA,NA,NA,NA,44
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,Acantholaimus caecus,44
CCZ,Nematoda,Chromadorea,Plectida,Ceramonematidae,Pselionema,NA,43.933017005
CCZ,Annelida,Polychaeta,Phyllodocida,Pilargidae,NA,NA,43
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecilla,Conchoecilla daphnoides,43
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Fellia,Fellia bicornis,43
CCZ,Foraminifera,Globothalamea,Lituolida,Haplophragmoididae,Evolutinella,Evolutinella rotulata,43
CCZ,Foraminifera,Globothalamea,Robertinida,Robertinidae,Robertina,Robertina subcylindrica,43
CCZ,Nematoda,Chromadorea,Desmodorida,Microlaimidae,NA,NA,43
CCZ,Porifera,Demospongiae,Polymastiida,Polymastiidae,NA,NA,43
CCZ,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,Akanthophoreus,NA,42.116327413
CCZ,Arthropoda,Malacostraca,Amphipoda,Alicellidae,Alicella,NA,42
CCZ,Arthropoda,Malacostraca,Isopoda,Thambematidae,NA,NA,42
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta,Aidanosagitta bedfordii,42
CCZ,Chordata,Thaliacea,Doliolida,Doliolidae,Dolioletta,Dolioletta gegenbauri,42
CCZ,Foraminifera,Globothalamea,Textulariida,Textulariidae,Siphotextularia,NA,42
CCZ,Porifera,Demospongiae,Axinellida,NA,NA,NA,42
CCZ,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,Tomopteris krampi,41
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,Scolecithricella vittata,41
CCZ,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,Tortanus (Atortus) murrayi,41
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Orthoconchoecia,Orthoconchoecia atlantica,41
CCZ,Bryozoa,Gymnolaemata,Cheilostomatida,Farciminariidae,NA,NA,41
CCZ,Echinodermata,Holothuroidea,Synallactida,NA,NA,NA,41
CCZ,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,41
CCZ,Nematoda,Chromadorea,Desmodorida,Desmodoridae,NA,NA,40.673614002
CCZ,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Odontacartia) erythraea,40
CCZ,Arthropoda,Copepoda,Calanoida,Bathypontiidae,Temorites,Temorites similis,40
CCZ,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,Lucicutia bicornuta,40
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus serrulus,40
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Pseudoamallothrix,Pseudoamallothrix emarginata,40
CCZ,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Sapphirina,Sapphirina gastrica,40
CCZ,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Microsetella,Microsetella rosea,40
CCZ,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina,Cypridina amphiacantha,40
CCZ,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina,NA,40
CCZ,Foraminifera,Globothalamea,Rotaliida,Pulleniidae,Pullenia,NA,40
CCZ,Foraminifera,Monothalamea,Astrorhizida,Rhabdamminidae,Bathysiphon,NA,40
CCZ,Foraminifera,Nodosariata,Polymorphinida,Ellipsolagenidae,Oolina,Oolina globosa,40
CCZ,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros atlanticus,40
CCZ,Annelida,Polychaeta,NA,Opheliidae,Ophelina,NA,39
CCZ,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,NA,NA,39
CCZ,Arthropoda,Malacostraca,Amphipoda,Eupronoidae,Eupronoe,Eupronoe intermedia,38
CCZ,Arthropoda,Thecostraca,Scalpellomorpha,Scalpellidae,Catherinum,NA,38
CCZ,Foraminifera,Tubothalamea,Miliolida,Hauerinidae,Scutuloris,Scutuloris orbicularis,38
CCZ,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Camptoplites,NA,37
CCZ,Foraminifera,Nodosariata,Nodosariida,Lagenidae,Lagena,Lagena hispida,37
CCZ,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,NA,37
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,Acantholaimus angustus,37
CCZ,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,NA,NA,37
CCZ,Nematoda,Chromadorea,Plectida,Ceramonematidae,Ceramonema,NA,36.706761863
CCZ,Cnidaria,Octocorallia,Scleralcyonacea,Primnoidae,Calyptrophora,Calyptrophora persephone,36
CCZ,Echinodermata,Echinoidea,Aspidodiadematoida,NA,NA,NA,36
CCZ,Foraminifera,Nodosariata,NA,Hormosinellidae,Hormosinella,NA,36
CCZ,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,35.3
CCZ,Echinodermata,Ophiuroidea,Ophiurida,NA,NA,NA,35
CCZ,Foraminifera,Monothalamea,NA,Stannomidae,Aschemonella,Aschemonella monile,35
CCZ,Foraminifera,Tubothalamea,Spirillinida,Ammodiscidae,Tolypammina,NA,35
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,Acantholaimus sieglerae,35
CCZ,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,NA,34
CCZ,Arthropoda,Arachnida,Trombidiformes,Halacaridae,NA,NA,34
CCZ,Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,Ophiotholia,NA,34
CCZ,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula,Nucula profundorum,34
CCZ,Nematoda,Chromadorea,Chromadorida,Cyatholaimidae,Metacyatholaimus,NA,33.644098874
CCZ,Annelida,Polychaeta,NA,Capitellidae,Notomastus,NA,33
CCZ,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,Candacia catula,33
CCZ,Arthropoda,Malacostraca,Amphipoda,Lestrigonidae,Lestrigonus,Lestrigonus schizogeneios,33
CCZ,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Chelophyes,Chelophyes contorta,33
CCZ,Echinodermata,Crinoidea,Comatulida,NA,NA,NA,33
CCZ,Foraminifera,Globothalamea,Rotaliida,Uvigerinidae,Siphouvigerina,Siphouvigerina hispida,33
CCZ,Heterokontophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Lioloma,Lioloma delicatulum,33
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,Acantholaimus coruscus,33
CCZ,Annelida,Polychaeta,Spionida,Poecilochaetidae,NA,NA,32
CCZ,Arthropoda,Copepoda,Harpacticoida,Argestidae,Parargestes,NA,32
CCZ,Arthropoda,Copepoda,Harpacticoida,Canthocamptidae,Psammocamptus,NA,32
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Alacia,Alacia minor,32
CCZ,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga,32
CCZ,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,Lensia hotspur,32
CCZ,Nematoda,Chromadorea,Desmodorida,Microlaimidae,Caligocanna,NA,32
CCZ,Nematoda,Chromadorea,Desmodorida,Draconematidae,Prochaetosoma,NA,31.938687265000002
CCZ,Nematoda,Chromadorea,Monhysterida,Linhomoeidae,Metalinhomoeus,NA,31.791426481000002
CCZ,Nematoda,Chromadorea,Chromadorida,Cyatholaimidae,Paralongicyatholaimus,NA,31.376569595
CCZ,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Plotohelmis,Plotohelmis capitata,31
CCZ,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,NA,NA,31
CCZ,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella,Euchirella bella,31
CCZ,Chordata,Ascidiacea,Phlebobranchia,Octacnemidae,NA,NA,31
CCZ,Chordata,Thaliacea,Salpida,Salpidae,Salpa,Salpa fusiformis,31
CCZ,Foraminifera,Nodosariata,NA,Hormosinidae,NA,NA,31
CCZ,Arthropoda,Malacostraca,Tanaidacea,Apseudidae,Leviapseudes,NA,30.116327413
CCZ,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephaloides,NA,30
CCZ,Annelida,Polychaeta,NA,Magelonidae,NA,NA,30
CCZ,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,NA,30
CCZ,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,Euchaeta marinella,30
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Amallothrix,Amallothrix valens,30
CCZ,Arthropoda,Copepoda,Cyclopoida,Lubbockiidae,Lubbockia,Lubbockia marukawai,30
CCZ,Cercozoa,Gromiidea,NA,NA,NA,NA,30
CCZ,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,Fritillaria haplostoma,30
CCZ,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,NA,30
CCZ,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolum,Doliolum denticulatum,30
CCZ,Foraminifera,Monothalamea,Astrorhizida,Baculellidae,Baculella,NA,30
CCZ,Nematoda,Chromadorea,Araeolaimida,Diplopeltidae,NA,NA,30
CCZ,Nematoda,Enoplea,Enoplida,Phanodermatidae,Micoletzkyia,NA,29.78033422
CCZ,Nematoda,Enoplea,Enoplida,NA,NA,NA,29.6
CCZ,Arthropoda,Malacostraca,Tanaidacea,Neotanaidae,Neotanais,NA,29.126944823
CCZ,Arthropoda,Malacostraca,Isopoda,Gnathiidae,NA,NA,29
CCZ,Foraminifera,Globothalamea,Textulariida,Eggerellidae,Eggerella,NA,29
CCZ,Foraminifera,Nodosariata,Polymorphinida,Ellipsolagenidae,Fissurina,Fissurina lucida,29
CCZ,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros affinis,29
CCZ,Nematoda,Chromadorea,Monhysterida,Xyalidae,Metadesmolaimus,NA,28.424703713
CCZ,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Desmosoma,NA,28.116327413
CCZ,Annelida,Polychaeta,Terebellida,Trichobranchidae,NA,NA,28
CCZ,Arthropoda,Malacostraca,Decapoda,Luciferidae,Lucifer,Lucifer typus,28
CCZ,Arthropoda,Pycnogonida,NA,NA,NA,NA,28
CCZ,Foraminifera,Globothalamea,Lituolida,Adercotrymidae,Adercotryma,NA,28
CCZ,Foraminifera,Monothalamea,Astrorhizida,Saccamminidae,Thurammina,Thurammina papyracea,28
CCZ,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Oxytoxum,Oxytoxum parvum,28
CCZ,Nematoda,Enoplea,Enoplida,Rhabdolaimidae,NA,NA,28
CCZ,Annelida,Polychaeta,Phyllodocida,Syllidae,Anguillosyllis,NA,27
CCZ,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,NA,27
CCZ,Heterokontophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,NA,27
CCZ,Ochrophyta,Phaeophyceae,Tilopteridales,Phyllariaceae,Saccorhiza,NA,27
CCZ,Porifera,Demospongiae,Tethyida,NA,NA,NA,27
CCZ,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Bathydorus,NA,27
CCZ,Nematoda,Chromadorea,Monhysterida,Xyalidae,Amphimonhystera,NA,26.411196118
CCZ,Annelida,Polychaeta,Phyllodocida,Typhloscolecidae,Sagitella,Sagitella dubia,26
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scottocalanus,Scottocalanus helenae,26
CCZ,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amphiascus,NA,26
CCZ,Arthropoda,Malacostraca,Amphipoda,Uristidae,Ichnopus,NA,26
CCZ,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,26
CCZ,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis,NA,26
CCZ,Echinodermata,Asteroidea,Brisingida,Freyellidae,NA,NA,26
CCZ,Foraminifera,Nodosariata,Polymorphinida,Ellipsolagenidae,Fissurina,Fissurina marginata,26
CCZ,Mollusca,Bivalvia,Nuculanida,Yoldiidae,NA,NA,26
CCZ,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,26
CCZ,Myzozoa,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,Scrippsiella acuminata,26
CCZ,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,NA,25
CCZ,Annelida,Polychaeta,NA,Travisiidae,Travisia,NA,25
CCZ,Arthropoda,Malacostraca,Cumacea,Leuconidae,Leucon,NA,25
CCZ,Chordata,Teleostei,Gadiformes,Macrouridae,NA,NA,25
CCZ,Chordata,Thaliacea,Salpida,Salpidae,Salpa,Salpa maxima,25
CCZ,Cnidaria,Hexacorallia,Ceriantharia,NA,NA,NA,25
CCZ,Cnidaria,Hydrozoa,Trachymedusae,NA,NA,NA,25
CCZ,Myzozoa,Dinophyceae,Peridiniales,Podolampadaceae,Podolampas,Podolampas spinifera,25
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,Acantholaimus iubilus,25
CCZ,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathypolaria,NA,24
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona attenuata,24
CCZ,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Sapphirina,Sapphirina opalina,24
CCZ,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,Lensia subtilis,24
CCZ,Cnidaria,Scyphozoa,NA,NA,NA,NA,24
CCZ,Mollusca,Bivalvia,Arcida,Arcidae,NA,NA,24
CCZ,Myzozoa,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,NA,24
CCZ,Nematoda,Chromadorea,Araeolaimida,NA,NA,NA,24
CCZ,Nematoda,Enoplea,Enoplida,Oxystominidae,Wieseria,NA,23.578126464
CCZ,Annelida,Polychaeta,Phyllodocida,Goniadidae,Bathyglycinde,Bathyglycinde profunda,23
CCZ,Annelida,Polychaeta,Phyllodocida,Lacydoniidae,NA,NA,23
CCZ,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,Candacia varicans,23
CCZ,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Ameiropsis,NA,23
CCZ,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Phrosina,Phrosina semilunata,23
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Flaccisagitta,Flaccisagitta hexaptera,23
CCZ,Foraminifera,Globothalamea,Textulariida,Textulariidae,Textularia,NA,23
CCZ,Foraminifera,Monothalamea,Astrorhizida,Saccamminidae,Saccammina,Saccammina sphaerica,23
CCZ,Foraminifera,Monothalamea,NA,Stannomidae,Aschemonella,Aschemonella ramuliformis,23
CCZ,Mollusca,Bivalvia,Arcida,Arcidae,Bentharca,NA,23
CCZ,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Protatlanta,Protatlanta souleyeti,23
CCZ,Arthropoda,Ostracoda,Podocopida,Macrocyprididae,Macrocypris,NA,22.634338279999998
CCZ,Arthropoda,Malacostraca,Isopoda,Ischnomesidae,Ischnomesus,NA,22.116327413
CCZ,Annelida,Polychaeta,Terebellida,Acrocirridae,Flabelligena,NA,22
CCZ,Annelida,Polychaeta,NA,Maldanidae,Nicomache,NA,22
CCZ,Annelida,Polychaeta,NA,Paraonidae,Levinsenia,NA,22
CCZ,Arthropoda,Copepoda,Calanoida,Calanidae,Nannocalanus,Nannocalanus minor,22
CCZ,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,Euchaeta tenuis,22
CCZ,Arthropoda,Copepoda,Harpacticoida,Paramesochridae,Paramesochra,NA,22
CCZ,Arthropoda,Copepoda,Harpacticoida,Zosimeidae,NA,NA,22
CCZ,Arthropoda,Malacostraca,Isopoda,Nannoniscidae,Nannoniscus,NA,22
CCZ,Arthropoda,Malacostraca,Tanaidacea,Colletteidae,Leptognathiella,NA,22
CCZ,Bryozoa,Gymnolaemata,Cheilostomatida,Bifaxariidae,Raxifabia,NA,22
CCZ,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,Phelliactis,NA,22
CCZ,Cnidaria,Hexacorallia,Corallimorpharia,Corallimorphidae,NA,NA,22
CCZ,Echinodermata,Asteroidea,Paxillosida,NA,NA,NA,22
CCZ,Foraminifera,Globothalamea,NA,NA,NA,NA,22
CCZ,Mollusca,Gastropoda,Pteropoda,Clionidae,Thliptodon,Thliptodon diaphanus,22
CCZ,Myzozoa,Dinophyceae,Peridiniales,Podolampadaceae,Podolampas,Podolampas palmipes,22
CCZ,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,Copilia quadrata,21
CCZ,Arthropoda,Malacostraca,Isopoda,Mesosignidae,Mesosignum,NA,21
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Krohnittidae,Krohnitta,Krohnitta pacifica,21
CCZ,Foraminifera,Nodosariata,Nodosariida,Nodosariidae,Dentalina,NA,21
CCZ,Mollusca,Bivalvia,Venerida,Vesicomyidae,NA,NA,21
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,Acantholaimus akvavitus,21
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,Acantholaimus septimus,21
CCZ,Nematoda,Chromadorea,Chromadorida,Cyatholaimidae,Paracyatholaimoides,NA,20.376011634
CCZ,Annelida,Polychaeta,Phyllodocida,Lopadorrhynchidae,NA,NA,20
CCZ,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Pseudomystides,NA,20
CCZ,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,Aetideus bradyi,20
CCZ,Arthropoda,Copepoda,Calanoida,Aetideidae,Euchirella,Euchirella unispina,20
CCZ,Arthropoda,Copepoda,Calanoida,Arietellidae,Arietellus,NA,20
CCZ,Arthropoda,Copepoda,Calanoida,Arietellidae,Paraugaptilus,Paraugaptilus buchani,20
CCZ,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,Haloptilus acutifrons,20
CCZ,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,Haloptilus spiniceps,20
CCZ,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,Haloptilus tenuis,20
CCZ,Arthropoda,Copepoda,Calanoida,Calanidae,Calanoides,Calanoides carinatus,20
CCZ,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,NA,20
CCZ,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta,Paraeuchaeta flava,20
CCZ,Arthropoda,Copepoda,Calanoida,Fosshageniidae,Temoropia,Temoropia mayumbaensis,20
CCZ,Arthropoda,Copepoda,Calanoida,Heterorhabdidae,Heterorhabdus,Heterorhabdus spinifrons,20
CCZ,Arthropoda,Copepoda,Calanoida,Heterorhabdidae,Heterorhabdus,Heterorhabdus spinosus,20
CCZ,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,Lucicutia tenuicauda,20
CCZ,Arthropoda,Copepoda,Calanoida,Pontellidae,Ivellopsis,Ivellopsis denticauda,20
CCZ,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontella,Pontella kieferi,20
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Amallothrix,Amallothrix tenuiserrata,20
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Bradfordiella,Bradfordiella fowleri,20
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithrix,NA,20
CCZ,Arthropoda,Copepoda,Calanoida,Spinocalanidae,Monacilla,Monacilla typica,20
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Onychocorycaeus,Onychocorycaeus ovalis,20
CCZ,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Copilia,Copilia mediterranea,20
CCZ,Arthropoda,Copepoda,Harpacticoida,Argestidae,Bodinia,NA,20
CCZ,Arthropoda,Copepoda,Harpacticoida,Idyanthidae,NA,NA,20
CCZ,Arthropoda,Malacostraca,Amphipoda,Lestrigonidae,Hyperietta,Hyperietta stebbingi,20
CCZ,Arthropoda,Malacostraca,Amphipoda,Platyscelidae,Platyscelus,Platyscelus serratulus,20
CCZ,Arthropoda,Malacostraca,Amphipoda,Scinidae,Scina,Scina tullbergi,20
CCZ,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Mirabilicoxa,NA,20
CCZ,Arthropoda,Malacostraca,Tanaidacea,Tanaellidae,Araphura,NA,20
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Alacia,Alacia alata,20
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Archiconchoecilla,Archiconchoecilla versicula,20
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecetta,Conchoecetta giesbrechti,20
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Muelleroecia,Muelleroecia macromma,20
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Paraconchoecia,Paraconchoecia dasyophthalma,20
CCZ,Bryozoa,Gymnolaemata,Cheilostomatida,Conescharellinidae,NA,NA,20
CCZ,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,Fritillaria tenella,20
CCZ,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abyla,Abyla haeckeli,20
CCZ,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Ceratocymba,Ceratocymba sagittata,20
CCZ,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Diphyes,Diphyes chamissonis,20
CCZ,Echinodermata,Asteroidea,Paxillosida,Porcellanasteridae,Hyphalaster,Hyphalaster inermis,20
CCZ,Foraminifera,Globothalamea,Rotaliida,Melonidae,Melonis,Melonis pompilioides,20
CCZ,Foraminifera,Monothalamea,Allogromiida,Hospitellidae,Placopsilinella,NA,20
CCZ,Foraminifera,Nodosariata,Polymorphinida,Ellipsolagenidae,Fissurina,Fissurina orbignyana,20
CCZ,Foraminifera,Nodosariata,Vaginulinida,Vaginulinidae,Lenticulina,Lenticulina convergens,20
CCZ,Heterokontophyta,Bacillariophyceae,Surirellales,NA,NA,NA,20
CCZ,Annelida,Polychaeta,NA,Paraonidae,Aricidea,NA,19
CCZ,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,Euphausia tenera,19
CCZ,Echinodermata,Asteroidea,Velatida,NA,NA,NA,19
CCZ,Foraminifera,Globothalamea,Rotaliida,Chilostomellidae,Chilostomella,Chilostomella oolina,19
CCZ,Foraminifera,Monothalamea,Astrorhizida,Saccamminidae,Lagenammina,Lagenammina tubulata,19
CCZ,Foraminifera,Nodosariata,NA,Hormosinidae,Hormosina,NA,19
CCZ,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,NA,19
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,Acantholaimus aheneus,19
CCZ,Nematoda,Enoplea,Enoplida,Oncholaimidae,Meyersia,NA,19
CCZ,Nematoda,Chromadorea,Monhysterida,Linhomoeidae,NA,NA,18.935558502
CCZ,Nematoda,Enoplea,Enoplida,Thoracostomopsidae,Paramesacanthion,NA,18.343244176
CCZ,Nematoda,Chromadorea,Desmodorida,Desmodoridae,Desmodorella,NA,18.102208817
CCZ,Annelida,Polychaeta,Phyllodocida,Nereididae,Ceratocephale,NA,18
CCZ,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,NA,18
CCZ,Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,NA,18
CCZ,Arthropoda,Copepoda,Harpacticoida,Canthocamptidae,Boreolimella,NA,18
CCZ,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Procampylaspis,NA,18
CCZ,Brachiopoda,Rhynchonellata,NA,NA,NA,NA,18
CCZ,Bryozoa,Stenolaemata,Cyclostomatida,Lichenoporidae,NA,NA,18
CCZ,Chordata,Appendicularia,NA,NA,NA,NA,18
CCZ,Echinodermata,Crinoidea,Hyocrinida,Hyocrinidae,NA,NA,18
CCZ,Foraminifera,Globothalamea,Rotaliida,Anomalinidae,Anomalinoides,Anomalinoides globulosus,18
CCZ,Foraminifera,Nodosariata,Polymorphinida,Ellipsolagenidae,Parafissurina,NA,18
CCZ,Foraminifera,Tubothalamea,Miliolida,Hauerinidae,Pyrgo,Pyrgo nasuta,18
CCZ,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,Chaetoceros femur,18
